,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
32,146.21292,146.46297,145.79114,143.98279,145.82951,146.62447,142.99063,143.92319,143.88292,146.45096,145.06705,146.38495,144.56342,145.34427,145.442,146.68141,146.45836,146.53401,144.8584,144.35724,145.03226,145.55324,146.00235,146.64986
33,221.22557,231.39835,238.12534,245.31558,245.85275,243.89232,227.07631,223.69211,228.40904,230.72725,239.54422,242.80272,228.92554,225.14697,217.4689,220.3745,221.64702,221.33322,214.48729,205.26984,207.64796,205.79393,198.71799,198.691
34,180.35352,176.91492,179.77504,181.2744,180.97816,181.26251,177.90096,179.43745,181.00328,178.3377,178.13193,179.12164,179.10841,178.12303,179.39049,179.79578,178.60057,181.92682,178.44824,181.89128,178.14388,175.79915,177.63406,178.8401
35,144.13841,144.1783,147.10144,145.34874,144.69011,144.32378,147.30049,146.356,147.60393,144.54317,146.70052,144.08238,145.36763,144.70941,145.97061,146.27713,144.48225,145.44359,146.52544,146.77777,147.4,146.92506,146.44199,146.25084
36,178.72157,179.86617,176.71507,177.31833,177.48708,178.85475,177.21866,178.92929,181.96729,177.02751,180.83685,177.48775,178.86766,179.82907,176.5907,179.73718,179.2193,182.44193,178.71031,179.2626,179.90974,179.33395,180.49364,179.32338
37,177.7228,178.05115,177.83943,177.94002,178.2035,178.55826,179.41866,180.3862,181.14091,181.26625,180.94598,178.08632,177.49284,181.67209,196.99059,202.91919,218.73819,226.47375,241.03186,252.12822,259.68988,269.1899,280.85242,292.0664
38,181.35477,180.3712,183.05229,180.14932,178.73091,180.46985,180.78246,181.2005,178.76656,181.25076,181.35585,185.01848,179.76927,181.70041,179.8745,180.96478,180.50511,181.68037,184.46329,180.768,184.2084,182.46672,180.66823,179.01357
39,179.4922,181.59325,181.90771,180.77107,182.6144,176.77759,179.78546,180.18137,180.09467,178.36751,178.99161,177.3315,181.96101,179.43439,179.57454,181.1605,178.086,177.71646,180.32683,180.63016,176.99017,178.78545,179.74538,177.6851
40,141.4648,141.2675,141.03758,140.3349,143.3481,141.06111,144.12572,140.50308,143.48724,142.33614,143.21645,142.08472,143.47128,141.68666,142.4878,140.97131,143.08818,140.70396,141.83786,140.63013,141.69006,140.91447,140.03072,141.08852
41,177.74312,174.56622,179.77475,179.81403,178.00906,180.0548,143.82736,147.1558,144.57756,145.33322,145.25224,145.12367,144.5236,147.10396,145.62231,145.58405,146.20778,145.11116,145.38605,146.03351,147.21977,144.28131,144.79344,144.50597
42,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241
43,178.23462,180.18039,178.57794,180.54883,179.98627,180.37578,179.8631,179.23125,180.12003,176.08022,176.72743,176.49252,177.55429,177.71399,177.86058,180.4007,177.92015,180.09618,178.77733,179.08247,180.47899,179.50043,180.56427,179.28802
44,177.19133,179.66106,178.87675,178.711,178.59312,179.50832,180.54933,178.50078,180.12059,179.21333,180.00668,180.69305,179.46785,181.20715,180.57774,179.93492,177.40163,179.35493,181.46425,181.90361,178.59097,178.5847,179.08429,178.94733
45,177.80334,178.83032,177.95714,178.19043,175.67627,175.31792,174.41661,175.26952,173.18346,175.52045,178.2495,177.25272,174.37068,176.12706,176.67978,177.52098,179.38718,178.73299,176.58446,179.45233,178.025,180.38126,177.43181,180.88461
46,179.38893,179.08072,179.85141,180.07605,174.92502,178.73698,178.74936,179.84898,177.50128,176.00453,179.00812,180.81564,178.20485,178.39255,179.28967,179.87675,176.68971,179.52203,179.8204,178.91615,179.54514,176.33324,176.9069,178.52356
47,253.24536,249.24802,231.03915,224.83063,213.42848,202.40562,193.76958,187.89883,181.68654,179.80481,182.45656,179.86917,178.6331,182.45291,181.02716,181.44666,180.3953,181.37267,180.69373,180.70767,180.41664,180.0935,184.29121,180.89545
48,178.71269,179.45235,181.24005,180.04741,178.81299,179.72922,181.78766,181.03806,179.31706,179.5811,180.17854,180.00626,179.32579,179.93431,180.29129,181.1871,181.62816,178.0531,180.5486,180.45538,180.57414,179.55002,179.97084,179.60617
49,295.69165,290.1163,285.4319,277.55685,254.37804,247.83449,239.6225,238.48378,226.59106,214.41187,206.90855,206.89345,196.40436,190.84198,192.05539,182.79054,182.38258,184.45988,185.67458,182.83272,182.14316,186.64174,185.12674,182.82962
50,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241
51,442.16907,442.68768,436.60028,438.1752,444.2565,442.15698,443.2032,450.33905,455.08176,452.15536,453.27292,452.4275,451.8689,432.68542,431.27814,406.91757,393.00604,385.5033,370.92264,370.07233,349.0346,347.68164,337.0684,335.80893
52,174.81068,175.54256,177.77336,170.30801,174.46227,175.45172,174.46854,173.73615,176.23622,178.25055,175.63483,179.0336,177.14844,178.89343,174.97955,177.11952,175.80594,179.28178,178.11784,180.00981,178.1282,179.49516,174.52217,177.58134
53,179.87698,182.33278,180.31142,181.11404,180.07198,181.54747,180.94576,181.7306,180.41069,181.67256,182.22282,181.25978,180.71712,180.88731,180.62592,180.51974,180.04532,181.20486,180.51862,182.33775,179.08922,181.47464,179.07034,181.55132
54,145.55066,147.64445,147.05779,146.286,147.63588,143.72945,146.40506,147.0607,145.44662,145.94258,147.77686,144.80537,144.95296,147.7802,144.75307,145.98615,148.21704,144.21213,146.62642,144.85849,143.76709,145.89948,148.4647,147.44543
