,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
29,177.65994,176.35219,178.24808,177.99794,177.47891,178.05542,179.1873,175.80215,177.63663,180.65916,180.66818,176.76082,179.37521,177.72556,181.26398,178.41054,179.29785,179.1379,175.95946,180.03789,177.88266,179.91785,177.35684,180.60399
30,180.20122,178.7305,179.05,182.21257,181.0747,180.95647,179.99307,182.29727,179.52109,180.08708,182.14835,179.64903,179.15724,179.32599,179.22119,180.22324,179.99263,181.94276,178.65962,178.74063,180.35269,180.5498,178.50124,178.55386
31,451.23685,432.4972,407.23486,378.44308,346.43045,316.7361,304.33728,288.49252,287.13037,274.54285,275.5787,266.1349,254.47157,228.73627,210.22734,196.64853,185.79314,180.6279,183.90323,185.161,183.99931,183.02216,182.73064,183.63434
32,355.565,359.18362,361.59058,367.7535,381.42514,404.49942,418.2427,431.75616,437.24606,436.90692,431.22882,440.79825,463.2155,477.5684,514.27747,511.86343,514.3701,518.8712,509.51923,522.58307,529.08844,502.6406,503.7172,478.5588
33,181.43503,180.82391,185.73042,180.29135,181.83218,180.57523,178.04578,180.2065,178.79918,181.16046,182.37094,181.0207,184.57326,183.36554,184.15056,182.5673,184.52467,180.72911,183.21617,181.11568,175.31322,174.7967,178.42323,177.87538
34,146.94566,144.37366,145.57697,147.69742,143.95003,147.33235,143.42673,143.41327,142.88678,144.55695,145.12462,143.97392,145.87837,146.04552,147.03601,145.96881,146.12851,146.87573,145.96144,144.39874,147.49745,143.91095,143.16628,146.59273
35,180.78233,182.19562,181.29933,180.20157,185.22423,183.37209,182.68729,182.07816,183.4175,181.58916,182.02274,182.62404,180.31213,179.64488,181.3142,181.0094,181.51685,182.92204,181.63828,180.5194,183.26323,179.68484,181.31436,180.9677
36,180.50722,185.0064,183.07503,183.30338,182.8935,180.97794,181.86276,184.83951,185.03328,183.66165,185.12074,182.77277,186.53412,184.18472,187.58015,182.44885,180.53253,181.81041,180.57797,182.3465,179.83272,181.84807,182.13098,182.0369
37,173.77582,176.91748,173.30736,175.56248,176.58952,177.45816,177.72285,176.21051,180.3012,177.33084,180.17776,178.33563,180.02179,180.91124,178.1176,179.32922,178.16713,179.06316,177.05151,177.14151,176.21596,178.23761,179.0323,178.48404
38,305.1469,298.80704,303.2579,298.87143,291.7788,300.29208,296.042,294.13126,287.63162,286.98322,303.95303,308.96335,325.64792,337.55832,351.70065,365.84943,345.08237,342.87115,334.74402,329.70648,332.05862,330.0976,331.874,318.71313
39,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241
40,178.86774,177.56317,175.1102,177.37839,150.76878,177.42844,141.04247,141.98691,141.10674,140.84406,141.6469,142.13438,142.33511,141.7512,139.74174,140.93695,142.69273,140.9976,141.95116,140.17111,142.81638,141.10422,141.97073,141.11086
41,144.16495,145.94583,144.34888,146.46353,145.18939,145.37325,145.62486,146.57457,144.46419,145.19969,144.49545,147.21162,143.7196,146.30733,178.24977,181.78584,179.49338,179.98776,181.28844,179.04614,178.15302,179.41957,179.64279,179.49576
42,211.8855,211.79753,212.88068,212.37004,221.31117,221.82802,220.82205,217.78438,208.98917,197.87796,191.22316,188.7169,207.2928,211.3472,227.292,224.28023,242.94193,244.16248,245.07578,247.54141,245.62842,246.25995,254.42033,254.7758
43,284.34064,284.5124,296.61777,294.31512,300.74988,306.99203,306.99,316.70105,328.52924,322.43594,320.39038,330.64297,324.33606,326.4905,332.43115,331.33356,346.45377,372.34216,376.01883,395.83276,430.83453,429.02765,449.8123,467.22705
